Step	Training Loss
500     1.735800
1000	1.553900
1500	1.372200
2000	1.356700
2500	1.262000
3000	1.195600
3500	1.173600
4000	1.053600
4500	1.069200
5000	0.983400
5500	0.958300
6000	0.956200
6500	0.866000
7000	0.900600
7500	0.791700
8000	0.816900
8500	0.770200
9000	0.770900
9500	0.728500
10000	0.691500
10500	0.699200
11000	0.638800
11500	0.647800
12000	0.617300
12500	0.619500
13000	0.590400
13500	0.553900
14000	0.582500
14500	0.544800
15000	0.537900
15500	0.519800
16000	0.521900
16500	0.516900
17000	0.510600
17500	0.498000
